order_id,product_id,quantity,unit_price,discount_percent
1,14,2,183.79,10
1,96,2,664.87,0
1,167,2,49.0,20
1,13,2,230.59,15
2,13,2,230.59,0
2,16,2,314.5,0
2,189,2,380.28,0
2,65,3,644.46,20
3,167,1,49.0,0
4,194,1,617.3,15
4,61,2,490.48,10
4,182,3,424.48,0
5,90,3,331.05,0
5,189,3,380.28,5
5,178,2,237.94,10
5,122,1,675.73,15
5,8,3,266.37,0
6,124,2,543.58,15
7,155,1,605.4,0
7,80,2,655.63,0
7,175,1,779.79,0
8,59,1,14.66,0
8,54,2,13.34,0
8,54,3,13.34,0
8,194,1,617.3,15
8,44,2,965.34,15
9,45,1,56.68,0
9,170,3,545.06,5
9,88,2,850.72,0
10,132,1,117.83,20
10,196,3,311.35,10
10,70,3,221.82,15
11,77,3,324.9,10
12,171,1,557.48,0
12,53,1,939.57,0
13,117,1,48.58,15
13,121,3,78.36,5
13,187,1,845.14,20
13,146,3,667.86,0
14,147,2,776.85,5
14,172,2,823.49,0
14,39,2,731.63,5
14,110,1,20.16,20
15,191,3,694.01,0
15,63,3,554.83,10
16,38,1,285.25,0
16,195,2,518.3,0
16,199,3,313.82,5
16,20,2,152.83,0
16,197,2,453.54,10
17,2,3,126.41,0
17,182,2,424.48,5
18,98,3,95.23,10
18,14,2,183.79,0
18,18,3,159.46,15
18,100,3,365.24,5
19,85,1,384.92,5
19,144,1,942.97,5
19,160,3,606.35,15
19,13,1,230.59,0
20,90,3,331.05,20
20,141,1,31.84,15
20,13,1,230.59,20
20,115,2,345.44,10
20,64,1,521.03,0
21,175,1,779.79,10
21,173,2,393.12,0
21,191,1,694.01,20
21,184,3,256.84,0
21,37,3,743.0,20
22,39,1,731.63,5
22,39,2,731.63,20
23,172,3,823.49,0
23,172,2,823.49,0
23,168,3,659.05,0
24,175,3,779.79,20
24,145,3,877.52,0
25,167,1,49.0,0
25,142,1,881.76,5
25,170,2,545.06,10
25,29,2,945.7,15
25,197,3,453.54,15
26,150,2,906.24,15
27,156,2,561.44,10
27,4,1,573.94,0
27,140,2,354.61,0
27,107,2,412.78,20
27,193,1,592.07,0
